questions,option1,option2,option3,option4,option5,answer,explanation,type,section
একটি বেলুনে 2.5 m³ গ্যাস ভরা হয়েছে 1.75 atm চাপে। বেলুনের গ্যাসের আয়তন তার প্রসারণ ক্ষমতার অংশ। তাপমাত্রা স্থির রেখে কত উচ্চতায় বেলুনটি ফেটে যাবে? যদি প্রতি 90.5 m উচ্চতায় বায়ুমণ্ডলীয় চাপ 1 mm-Hg কমে।,76 km,76 m,760 m,760 km,,3,,1,1
"27°C তাপমাত্রায় এবং 745 mm Hg সামগ্রিক চাপে একটি আবদ্ধ পাত্রে পানি ও হাইড্রোজেনের মিশ্রণ আছে। যদি হাইড্রোজেনের চাপ নির্ণয়ে ব্যবহৃত সূত্র (mm Hg) হয় এবং হাইড্রোজেনের আয়তন 47 mL হয়, তবে হাইড্রোজেনের মোল সংখ্যা নির্ণয় কর।",0.01812,20.148,0.001812,15.377,15.313,3,,1,1
"একটি আদর্শ গ্যাসের ক্ষেত্রে 0.5 atm, 1 atm এবং 2 atm চাপের সাথে তাপমাত্রা সরলরৈখিকভাবে বৃদ্ধি পায়। তাপমাত্রা সরলরেখাগুলো তিনটি চাপে একই বিন্দুতে মিলিত হলে তাপমাত্রা কত?",0°C,0 K,−273 K,0°F,,2,,1,1
25°C তাপমাত্রায় একটি কঠিন বস্তুর কোন গ্যাসে আয়তন 90 cm³। তাপমাত্রা বৃদ্ধি করে 52°C করলে এর চাপ দ্বিগুণ হয় এবং আয়তন হয় 58.2 cm³। কঠিন বস্তুর আয়তন কত?,21.06,21.08,21.01,20.06,20.09,4,,1,1
একটি কোষের ভেতরের তাপমাত্রা 4°C। কোষের ভেতরের একটি অণুবীক্ষণিক সিলিন্ডারে CO₂ গ্যাসের চাপ 100 kPa। কোষের বাইরে সিলিন্ডারটির চাপ 1.1045 atm হলে কোষের ভিতর ও বাইরে তাপমাত্রা কত?,37°C,35°C,33°C,31°C,29°C,3,,1,1
স্থির তাপমাত্রায় কোন গ্যাসের চাপ চার গুণ বৃদ্ধি করলে আয়তনে কী পরিবর্তন ঘটবে?,Reduced 4 times,Increased 4 times,Increased 3 times,Increased 2 times,Remain unchanged,2,,1,1
প্রাথমিক তাপমাত্রায় আয়তন বৃদ্ধি গুণ হলে গ্যাসের তাপমাত্রা কত হবে?,0 K,25 K,91 K,118 K,,3,,1,1
0°C তাপমাত্রায় ও 760 mm চাপ O₂(g) এর ঘনত্ব 1.43 g/L। 23°C তাপমাত্রায় ও 720 mm চাপ O₂(g) এর ঘনত্ব কত?,5.21 g/L,2.25 g/L,1.25 g/L,1.25 g/L,,4,,1,1
38.5°C তাপমাত্রায় গ্যাস সিলিন্ডারে চাপ 6 atm। তা উত্তপ্ত করলে 350°C তাপমাত্রায় সিলিন্ডারের চাপ কত হবে?,4 atm,6 atm,8 atm,None,,0,,1,1
80 mL গ্যাস 17°C তাপমাত্রায় ও 750 mm-Hg চাপে সংগ্রহ করা হয়। একই গ্যাস STP তে 72 mL আয়তন নেয়। 17°C তে জলীয় বাষ্পের চাপ কত?,726.6 mm-Hg,32.41 mm-Hg,147.6 mm-Hg,23.41 mm-Hg,,4,,1,1
"যদি সূর্যের কেন্দ্রে গ্যাসগুলোর ঘনত্ব 1.5 kg/m³ এবং চাপ Pa হয়, তবে তাপমাত্রা কত?",K,K,K,K,K,5,,1,1
একটি পরীক্ষাগারের কক্ষের আয়তন 20 m × 10 m × 5 m। কক্ষের তাপমাত্রা 30°C এবং বায়ুর গড় আণবিক ভর 29 হলে কক্ষে মোট কত কেজি বায়ু আছে?,1166.46,1661.46,1266.46,None of these,,1,,1,1
100°C তাপমাত্রায় ও 1.0526 atm চাপে CO₂ গ্যাসের ঘনত্ব কত?,3.514 g/L,2.514 g/L,1.514 g/L,0.514 g/L,,3,,1,1
"To identify a gas in an unlabeled gas cylinder, a sample was collected and found to have density 5.38 g/L at 15°C and 736 mm (Hg) pressure. Atomic mass of Sn = 118.7 amu, Te = 127.6 amu, Xe = 131.3 amu and Ba = 137.3 amu. What is the gas in that unlabeled gas cylinder?",Xe,Ba,Te,Sn,,1,,1,1
0°C তাপমাত্রা ও 1.0 atm চাপে CO₂ গ্যাসের ঘনত্ব (g/L এককে) কত হবে?,0.019,0.196,1.960,0.081,0.811,3,,1,1
80 cm³ গ্যাসের আয়তন 20% বৃদ্ধি করা হলো কিন্তু চাপের কোনো পরিবর্তন হলো না। প্রাথমিক তাপমাত্রা 25°C হলে গ্যাসটি কত তাপমাত্রায় উত্তপ্ত করা হয়েছিল?,357.6°C,30.0°C,84.6°C,60.0°C,76.4°C,3,,1,1
নিচের কোনটি সঠিক?,V ∝ P (at constant m),C = (RT/3M)¹ᐟ²,V ∝ T (at constant P),R = PT/nV,,3,,1,1
650 mm চাপ ও 30°C তাপমাত্রায় 950 mL গ্যাসে কতটি গ্যাসের অণু আছে?,0.1972 × 10²³,1.9672 × 10²³,1.9426 × 10²¹,1.9426 × 10²²,2.0112 × 10²³,1,,1,1
27°C তাপমাত্রায় এবং 102 kPa চাপে 250 mL মিথেন গ্যাসের ভর নির্ণয় কর।,17.0 gm,27.16 gm,11.6 gm,2.16 gm,None,5,,1,1
